20,bestK,time(nanoTime/TIMER_DIVISOR)
4.650025639578112E7,20,207746
4.947605980395079E7,20,240293
5.369127441482775E7,20,204548
6.3087459414899E7,20,247675
4.949591109880895E7,20,199236
5.57963824931754E7,20,277676
5.521595280354089E7,20,216655
4.768119162998112E7,20,196017
5.5067536009126976E7,20,193925
4.4812859088128835E7,20,196114
6.127289625181871E7,20,369345
4.733831797358789E7,20,219149
4.348969690586847E7,20,219612
6.4867993674075924E7,20,254295
8.198096863620645E7,20,205626
5.910946471116612E7,20,204978
4.72971888835249E7,20,194275
7.00515661651515E7,20,211513
4.4069802656158164E7,20,218948
6.260529444918909E7,20,260817
5.040464378554006E7,20,206815
5.7310583831367165E7,20,200703
5.7696704964113E7,20,191752
5.4684462227838814E7,20,208443
4.5992593825891115E7,20,238355
5.3967882343918376E7,20,201534
4.746976336407686E7,20,214673
4.6351314655122526E7,20,209778
5.786682066934846E7,20,196652
4.66649716450109E7,20,221195
5.0476136455597185E7,20,201204
5.327820668831294E7,20,311325
4.55627202566898E7,20,195219
5.074729276828449E7,20,188812
5.1288299118452385E7,20,217647
5.486190018489177E7,20,208188
7.410834080093102E7,20,205967
6.523212633877788E7,20,219288
6.273747138832972E7,20,203851
4.049819126282618E7,20,203222
6.772349375252526E7,20,201918
4.8952391933585614E7,20,203295
5.1873839345006734E7,20,210519
5.478502183052691E7,20,217011
5.530576528492341E7,20,211334
6.002207578641637E7,20,194856
5.247432399989039E7,20,201197
5.68793098276862E7,20,198443
5.275850272368659E7,20,207219
5.256043841377068E7,20,201238
6.289053959852034E7,20,193026
5.678102454862915E7,20,188887
4.689032548715729E7,20,196488
5.804870439481404E7,20,206986
5.824672675259158E7,20,194521
6.123967257965368E7,20,213866
5.3875811313215725E7,20,199728
5.594248249847739E7,20,207163
4.93350472970238E7,20,210137
5.071749746139389E7,20,187147
5.417433573504595E7,20,204390
5.339708332257217E7,20,210074
5.663442974726035E7,20,193470
4.7738056747596845E7,20,191669
5.676413426830278E7,20,197525
5.743281318261183E7,20,211892
4.5330677607818E7,20,227404
6.082597091428572E7,20,210680
4.564821393970316E7,20,219784
5.6946982166666664E7,20,207478
4.994663539308885E7,20,201659
6.968562368948412E7,20,195810
4.608196844072872E7,20,202408
6.1376532694357105E7,20,197815
6.214141389877501E7,20,212035
6.538948338611111E7,20,187337
3.692692464066986E7,20,198179
4.6404358840156645E7,20,217606
4.900302615963576E7,20,196076
5.379431480772766E7,20,204679
5.4811581282611825E7,20,194128
5.016495071753246E7,20,187492
6.751552001421356E7,20,195659
5.6647776550746344E7,20,205745
6.078536625504773E7,20,198671
3.4864603436652236E7,20,223344
5.7316700151693605E7,20,205708
5.7611472042958714E7,20,210121
6.616271497918194E7,20,230298
6.376052504818919E7,20,215451
5.902917302704963E7,20,222750
7.13068760911977E7,20,187140
6.346429049968254E7,20,346312
6.2822173736401975E7,20,203679
6.675108716938339E7,20,197829
6.220647629267868E7,20,207648
5.92972860394922E7,20,208967
5.0974057761399716E7,20,205852
5.026797599784506E7,20,208959
4.696641373546137E7,20,205481
6.117737736649577E7,20,346032
4.588649925494284E7,20,205781
6.436796033395198E7,20,204341
5.81199904364884E7,20,195477
4.532501328700422E7,20,203685
3.9870836700791195E7,20,213292
6.1807632920426875E7,20,203992
5.80969682877833E7,20,197596
6.016340061606135E7,20,203099
4.709892115800866E7,20,204904
6.2917225012167834E7,20,203374
4.639949469221892E7,20,197720
6.4021480641865976E7,20,215398
5.39279166612221E7,20,204533
4.985183483038857E7,20,332527
5.091720652861448E7,20,207162
6.803558988852745E7,20,200605
6.230535735165044E7,20,215969
5.265526845409765E7,20,197502
5.9840939917640075E7,20,212352
5.284008006569265E7,20,203004
5.433241795342713E7,20,198847
4.752466168215746E7,20,192150
6.715710667500001E7,20,216345
6.2992291363644674E7,20,199553
5.255350233772784E7,20,217915
5.816325617455781E7,20,228515
5.15971254688492E7,20,213195
6.057435356194015E7,20,361856
6.113137009606246E7,20,226983
5.2650955206351936E7,20,211138
6.291131103366013E7,20,202656
6.087567145277777E7,20,219766
6.365220495958111E7,20,202269
5.881200604286131E7,20,210985
5.061740711417471E7,20,220481
5.038198520744812E7,20,223919
5.946632607510822E7,20,217191
5.373147617766955E7,20,212563
6.319944494051504E7,20,205216
