20,bestK,time(nanoTime/TIMER_DIVISOR)
320379.10848694365,20,119167916
984975.9783928185,20,113699241
1118015.3193896844,20,115675270
762721.663837934,20,112613402
454598.4586739243,20,105610104
1718034.3724866924,20,116426709
988637.0373081308,20,112824607
856010.1974115423,20,109226986
1394162.1588390649,20,115388564
1724151.407035225,20,118096085
616375.2516339369,20,110460441
873936.3867838468,20,126136749
1097459.3747398877,20,107489277
982893.5137593589,20,117627403
655071.0176328034,20,114994902
1726191.8554598857,20,117603162
1214877.984695658,20,111755678
2161715.3090103213,20,113179806
613229.4209276134,20,115606806
363566.2993013495,20,113868696
1278326.083902203,20,107057415
480441.7420163131,20,116712941
1000270.9276130737,20,119074996
1391740.8176191705,20,133457219
1850237.985508367,20,114099105
1691347.2486812354,20,116447407
2621072.874205943,20,123972773
969742.2304971869,20,112370178
